Username,Published At,Likes,Replies,Comment
@marcusbaffour7507,01/06/2024 09:35,0,0,This is a very poor investigative work. No arrest and subsequent conviction ?? Why didn't the informant and the buyer arrange with the Police to arrest the hospital official ??? Just wasted my time watching this piece of crap. smh
@GIGI-hz7ps,28/05/2024 23:57,0,0,Where in the world was the police?
@AbbeyGrace-dh7sf,27/05/2024 04:22,0,0,This woman should be jailed
@margaretjohnson6765,26/05/2024 13:34,0,0,Get your act together Africa. These  babies could be target for their organs or sex trafficking.
@christianebehr138,25/05/2024 21:15,0,0,I feel so sorry for all the people that have to search for their stolen children. 😢😢
@20Amos_Musembi,20/05/2024 19:46,1,0,"This one has devasted me. Kenyans are suffering in the hands of the very people entrusted to ensure their welfare?
I couldn't hold my tears, the pain of losing a child, your own blood?? Have humans become this cruel! Sanity must be brought back to our society whatever that will cost.
At least heads must roll and ALL the culprits be brought to book irrespective of their social status, political influence or any other power they wield on the planet."
@ckihong6769,18/05/2024 20:48,0,1,I find this whole story FAKE!! What was the point of showing this? For what purpose if you were not able to rescue any of those babies?
@ceyvingreene3908,16/05/2024 17:01,0,0,Sacrices?
@germaineludik,13/05/2024 18:42,0,0,I don't understand why you didn't get the police in to arrest these people instead of just investigating and making a documentary. That seems just as bad as committing the crimes
@youngkingdavid1332,05/05/2024 22:31,0,0,Wow thank you so much for African leaders there kids protected but for citizens this is what happens I think we citizens need to do something
@taniboo819,05/05/2024 19:28,0,0,okay I just have one question Guys these women live on the street who is getting them pregnant and if the man can get them pregnant on the street they should be able to put them up
@monablitzi-pi8mn,04/05/2024 17:46,0,0,"where is the police?????? i thought they will storm in, as you filmed everything? sich kind of bs is that? africa, home of the devil!!!"
@monablitzi-pi8mn,04/05/2024 14:36,0,0,"im not speaking english native, so can pls somebody explain to me... to who re these children will be sold? for adoptionn? for religion sacyfies? organ trafickers? thank you"
@amykins9870,30/04/2024 16:49,0,0,People need to think about the child they are adoption story and when they find it out will they be ok with that. You'll just end up in jail and lose them in 18 or less years! Start a DNA database with their stories attached to the results so the child will know immediately and authorities and the parents!! Is this BBC entertained by the plight of Africans. Or is BBC helping these people and getting their voices to the top!
@lucymungai5029,30/04/2024 12:54,0,0,They should have made the arrest immediately they were filming 😢
@user-vu2hy7kj5n,30/04/2024 02:13,0,0,"MARY NEED WASH HER MOUTH, , AND HER ,,DEVIL SPAWN, BORN FROM' A ' JACKEL,, MARY,"
@bernadettegomez3855,29/04/2024 22:57,0,0,"As a woman, Mary how could you have such a heart 😢😢😢😢😢"
@tudy4564,27/04/2024 14:57,1,0,"Excellent reporting, there is more than enough evidence for several arrests.  What happened these criminals should have been given life in a dungeon.  Thanks for revealing what's going on in Kenya now I see why they are planning on implementing the digital ID implant on babies as soon as they are born."
@lisadior9715,27/04/2024 12:48,1,0,They should of took the baby first time and called police there and then my heart breaks for these children
@Maymayli,24/04/2024 21:20,1,0,Where’s the fathers?
@SphiweThela,23/04/2024 16:30,1,0,Yoooo Kenya ne i cried like a hungry baby
@Yayalea-yayalea,23/04/2024 01:58,1,0,Use for sacrifice?????
@valerieogola8544,22/04/2024 07:52,1,0,I have never cried as much as I did watching this.....
@blairariavanderkamp3405,20/04/2024 19:59,1,0,This is so horrific! Those monsters deserve life in prison at best!!
@ZaneleTsibiyana,20/04/2024 09:20,1,0,Am speechless 😢
@sunset3977,11/04/2024 11:25,0,0,"Is this documentary a joke? NOTHING was done and continued off with the good old ""unfortunately...."" THIS could have been prevented!"
@lindiwesiwa8649,05/04/2024 09:16,0,0,"what sloppy action?? How did no one realise that there was a possibility for anita to sell off the baby to either the initial buyer or the highest bidder??? So disappointing! You were so close to saving that baby's life, but you failed! :-("
@paulinewanjiku2386,02/04/2024 18:27,1,0,The moment u involved police is where u went wrong.this is Africa darling....if u know u know
@gladysknight1512,22/03/2024 21:13,1,0,"Thanks for sharing, but what did the goverment down about it . Infact it's very sad to see ib africa a mother and her child sleeoing on the street.Shame on africa ."
@user-ff2xi3cl1o,12/03/2024 17:31,0,0,Its exactly like the sperm bank business.
@mercymurithii8046,09/03/2024 13:26,0,1,You have done nothing
@jenniferngeru8304,06/03/2024 12:39,0,0,Oooj no how people love and adore the so called Pope
@equitybank-hw1jh,06/03/2024 12:27,1,0,Anita might have been working with Authorities....walimchanua
@anna4lease587,05/03/2024 21:15,0,0,Why were they not arrested
@ralabilebotsime1602,03/03/2024 20:10,0,0,"what the hell is going on in this country... with so much evidence nothing done, no one in prison. life goes on... money the root of all evil"
@elizabethbristol4888,02/03/2024 19:00,0,0,What going on with the police dept.Maybe they are involved too.😝😝
@peterprince7999,01/03/2024 21:39,0,0,This was a failed mission
@itskeysha7602,18/02/2024 22:49,2,0,😢😢😢
@Enigmalove-hl4qc,16/02/2024 19:07,1,0,😢
@user-hq8uf3hb3i,13/02/2024 18:59,1,0,В грязи живут и им все нимо чем. Ни одна зараза не берет
@user-hq8uf3hb3i,13/02/2024 18:57,1,0,"Да, да пухлый, не голодный с соплями. Нет ни одной процветающей страны. Значит одни лодыри. Зачем кормить дармоедов?  Не зачем"
@user-hq8uf3hb3i,13/02/2024 18:53,1,0,"И этот жрет и сопли пускает, уже противно смотреть"
@paulmbugua404,13/02/2024 14:24,1,0,Anita ni jaba ana ku chapia ndio apate  maji .
@user-yj8wp7wj8k,13/02/2024 09:50,1,0,Why not report to the police
@DBusiness85,12/02/2024 06:18,1,0,😢This is heartbreaking and horrible!
@stanknasty456,09/02/2024 04:01,0,0,"This is Proposterous. You had ""Anita"" in front of YOU with that baby boy and YOU DID NOTHING."
@megaumojakitchen1599,07/02/2024 02:48,1,0,Police don't take any action
@saffylew,05/02/2024 03:29,0,0,What is the point of these investigations if there is no justice? Heartbreaking. This is clear evidence why no convictions and arrests?
@evelynbarry5046,03/02/2024 08:36,0,0,Why does kenya allow kids to grow up on the street?
@dr.priscilliamanjoh2227,02/02/2024 21:53,0,0,Why was Anita not arrested immediately ??? Are the investigatiors themselves complicit in the kidnapping of those little children ?🤔
@edithminoo6103,31/01/2024 09:16,0,0,Am not supporting this.  Bt Why is no one blaming the mothers who abandoned their kids??? Even the homeless mums struggle with their children.
@setiandromeda6091,29/01/2024 12:10,0,0,Is bbc receptive other such stories?
@joschkawarnecke,28/01/2024 04:42,0,0,"This is cruel, the poor mothers and babys.... What a Shit hole country 😢"
@HealthB2024,22/01/2024 19:50,0,0,"Very good documentary. My issue is that, In all your investigations, none of the perpetrators faced the law.
They are still in society doing what they do"
@kayvictoria7250,20/01/2024 13:06,0,1,That little Miss Anita will get hers because she's a type of b**** that would do anything for my cuz I'm sorry if that's the type of job I was doing which I would never ever do I don't care how much money somebody pay me I would never f****** even talk to somebody about it She is a type of b**** that do anything for f****** money and that's why she'll have her karma that's why doesn't bother her when she snatches those kids cuz all she sees is dollar signs
@elijahmuthoka6566,16/01/2024 04:27,0,0,Sad ending documentary
@stanleychikangara4969,14/01/2024 21:29,0,0,"It's pointless and foolishness that you priotise the ending of the documentary when you don't make an immediate arrest especially when they confess right in your face just like what Anita did, what more clear evidence do you need apart from that? This is so sad and it makes me so furious, this documentary is useless if you're not helping those kids and mothers.
My heart goes out to those victims."
@tinyikobaloyi777,12/01/2024 19:27,0,0,Is the footage in the documentary not concrete evidence?
@oluwatoyin6348,11/01/2024 13:24,0,0,"My gut feeling is that a corrupt police official hinted Anita and her handlers, and thats why that Rescue Mission was aborted.

So so sad.  

May God shed His light on all the darkness and bring all evil perpetrators to justice in Jesus Name"
@officialshaddy9370,10/01/2024 13:44,0,0,so what did the government do about this criminals
@veronicaj4126,10/01/2024 04:42,0,0,Why were these people not put behind Bars? What is wrong with the African system? This is terrible.
@lazyscorpion3889,09/01/2024 15:55,0,0,Kenya is a joke. In Uganda that doctor would be behind bars
@donkeycentury2804,07/01/2024 07:39,0,0,not surprised  a hint
@seidusukenebe440,01/01/2024 11:16,0,0,"You could have gone to all the crime venues with an undercover law enforcement agents to catch some one like Judith  red handed!
 You have repentance to do for missing the opportunity.
Any way, well done for the exposure"
@seidusukenebe440,01/01/2024 11:05,1,0,Can someone please assist the women at the slums to have family planning for birth control?
@hermarobinson9587,28/12/2023 01:25,0,0,"This is the worst I've ever watched, y no arrests have been made thou so clear that these were sure crime cases idiots, money makers you ppl are like them kmt  fools"
@zoemystique7773,15/12/2023 15:06,0,0,This is unAfrican. this is not ubuntu.
@marygambrell8238,05/12/2023 00:21,0,0,"Why didn’t you get the authorities involved and put these people in jail! What makes you think that any of these child traffickers are going to respond to your letters! You have these people on camera admitting to a crime, but, no arrest!!!"
@IAmChosen9925,28/11/2023 13:00,0,0,Those children are in Congo... There are the mines
@celinemlotshwa2744,20/11/2023 21:02,0,0,Brandon is black obviously 🙄
@editaarmanis4024,18/11/2023 16:26,0,0,"I do not understand !!! Why you did not go to police, you have evidence? So why you talk to the baby seller but not to police after you have all evidence???"
@user-hq8uf3hb3i,16/11/2023 14:04,0,0,"Кроме как рожать не  умеет и не хочет, это видно как она ест чипсы? Лодыри и дармоеды и мужчиня и женщины. В своей стране рады ртов  меньше и  президент Нигерии отковенно об этом говорит. Если они не нужны там то и здесь  подавно"
@user-hq8uf3hb3i,16/11/2023 13:56,1,0,"Не фига ты не переживаешь ты хочешь халявы.  Я написал негативный комментарий  но его нет. А нам показывают одни сопли,,, и мы должны на них реагировать. Гнать всю афр ику из Европы. Наглецы. Мужчины не хотят работать, а женщины спекулируют детьми. Ещё раз скажу плевать на вас и ваших детей. Дормоедки"
@michalreddick7734,14/11/2023 06:19,0,0,"I'm sorry but WHAT COUNTRY I WAS IN would flown out the way!!!! I would have either had pretented to have all the $$$ or have fake stacks at the first meeting...OR, All of the crew would have been arrested because she wouldn't have left with baby PERIOD !!!!
And looks as if that Police tipped her off"
@lisagloria8246,28/10/2023 22:58,1,0,We have alot in Uganda 😢😢😢
@Don_Si13,28/10/2023 07:44,0,0,Great job! But the outcomes don't seem to be that fruitful so heartbreaking.
@prettisibbs2176,26/10/2023 17:20,0,0,Why didn’t BBC save the baby ?
@afeimanuhaapai-pv5bb,24/10/2023 12:57,1,0,"I wonder if some of them just make babies to sell for money, and than report them missing. That'll be cruel asf"
@andrewnjuguna2642,17/10/2023 03:17,0,0,So you let a heavy drug user walk away with a stolen baby to the next day so as to set up a sting????
@carolmcgaghey6112,16/10/2023 19:57,0,0,You do realize that a lot of these babies are stolen for the purpose of devil worship... Right.... These babies are sacrificed to baal one of satans generals. Satanic worship is rampant all over Africa and USA and Europe.. Watch out for this kind of baby thieving as well.
@BBCAfrica,16/10/2023 12:24,8,0,"🇰🇪 Three years since the broadcast of the 2020 investigation ‘The Baby Stealers’, #BBCAfricaEye revisits some of Nairobi’s poorest neighbourhoods to find out what impact the  investigation had in the fight against child trafficking in Kenya. 

🎦 Watch ""What Happened to the Baby Stealers?"" here: https://https://www.youtube.com/watch?v=rswDstGDyvs"
@mensyymensss9497,16/10/2023 10:52,0,0,gai i cannot imagine what these women are going through
@veraaddo6986,16/10/2023 10:21,0,0,I’m just finished watching this documentary and I’m left in shock. I was hoping for immediate arrest of culprits with all the evidence gathered and no one was arrested 😮😮😮 are you shitting me???
@journeyofasister,16/10/2023 04:22,0,0,Maybe she should investigate the children's home too...
@Mommy-Eli,16/10/2023 04:20,0,0,"I am a mother to a Son a first time mother at that I watched this crying my eyes out because that can be anyone child u know. I feel for these mothers for real, I wish I can help I want there government to do something about this for real this is ridiculous. I can’t believe nobody is doing anything about this. God bless the reporter for making this public. I hope these children are found because our children is the future. I am very saddened by this I want justice for these children n mothers bring their children back please 😖🩵"
@yawmfoafo1491,14/10/2023 21:59,0,0,They all should have been arrested. Why wasnt this done with the police
@alettacronje7247,11/10/2023 17:52,0,0,Where are the fathers and. Why have children if you stay on the streets
@eyanlenjorin4566,10/10/2023 07:31,0,0,Finally two yrs later this man was sentence to 25yrs in jail.
@shanekawallace-graham2190,09/10/2023 15:34,0,0,"Evil comes in all forms, whether male or female, rich or poor, old or young 😭😭😭"
@ishmaeljalloh8118,07/10/2023 13:33,0,0,Our African leaders and  authority in charge of our continent will not heaven how can we Africans go through this God
@sandraedwards4278,06/10/2023 18:39,0,0,Why are Black children being trafficked like this!!!??? Who and what is the real culprit!? WAKE UP!!! I pray for the women and the children that are missing!!! Breaks my heart!!! This is pure evil!🎉🎉🎉
@ruthnamatovu5704,05/10/2023 23:36,0,2,This whole video is useless if it  never led to the arrest of  of the baby sellers - yet you identified them
@IsHekiel,05/10/2023 17:54,0,0,"When I was younger and lived in Kenya I faced the same thing as a kid on Saturday at school, playing around, and this track pulled up , they grabbed me and pulled me in , ma cousins ran but I was slow but as the door was closing I ran out and they caught me again, this one guy then I don't know what happened, I ended up from no where biting this guy so hard he let go and I ran like ma life depends on it"
@yeeeeet3252,05/10/2023 16:15,0,0,African women are weak and pathetic. Will do anything for money selling children right at birth? Disgusting
@morimusic2012,05/10/2023 13:24,0,0,What about the buyers go after them
@maevemahon7006,05/10/2023 12:31,0,1,I don’t understand? Was this evidence not given to the police ?? Are the police involved??
@abijuruted4010,05/10/2023 11:57,0,1,Why you didn't caught this demon 😈
@portiacaballero1078,05/10/2023 08:46,0,0,It’s so sad that mothers have been homeless for years raising their kids on the street!! Why does the govt not do something to house these poor kids do they can be safe ? I’m guessing many of these women are raped. So horrible to see that poor woman in labour in that dirty place and the woman waiting to take her baby!!
@portiacaballero1078,05/10/2023 08:40,0,0,I’ve just read in the news that the guy selling the babies has been sent to prison for 25years
@henryume-taule5042,05/10/2023 05:13,0,0,Homeless people should not be making babies. It is no unfair on the child.
@thisandthat4932,04/10/2023 21:39,0,0,"The woman journalist is soo kind, whats her name? The one with short hair, she looks like she has got a good heart"
@unHingedOYT,04/10/2023 19:58,0,0,"They should have had someone tailing Anita and the buyer….now the baby has just disappeared when there’s police and cameras.

Happy that Fred has been sentenced to 25years in prison"
@lindaokova1166,04/10/2023 17:28,18,1,And to the women also engaging in selling babies it's completely disgusting. A fellow woman doing this to another especially in their desperate state is despicable
@amerudi111,04/10/2023 17:25,1,0,Sadness 😢
@lindaokova1166,04/10/2023 17:25,2,0,I don't understand how people can be that cruel and inhumane to steal a child from its mother. Doing that is basically killing the mother. You leave them in a state of continuous torture bcz they will never have peace of knowing what really happened to their child
@quimbyonyimbo5341,04/10/2023 16:27,0,0,'Sound of freedom'
@abdihaji7617,04/10/2023 16:15,0,0,The criminal has been sentence to 25yrs in prison
@odulsfiger,04/10/2023 15:26,0,0,"Great job; Name, shame and jail. The only way to deal with deep-seated impunity that has put a stranglehold on African countries."
